"keys","times_1_e_5","times_2_e_5","times_3_e_5","times_4_e_5","times_5_e_5","times_6_e_5","times_7_e_5","times_8_e_5","times_9_e_5","times_1_e_6"
35,0.0093999999999857,0.0242000000000735,0.0366000000000531,0.0531999999998152,0.0676000000002386,0.0784000000002561,0.0938000000003376,0.11,0.118999999999651,0.139199999999837
36,0.0085999999999989,0.0272000000000207,0.0409999999999309,0.0502000000000044,0.0640000000002328,0.0805999999996857,0.0942000000002736,0.108000000000029,0.123199999999924,0.138200000000506
37,0.00980000000000601,0.0250000000000728,0.0359999999999127,0.0515999999999985,0.0643999999999505,0.0808000000003813,0.0970000000002619,0.110199999999604,0.11980000000025,0.139399999999732
38,0.0100000000000091,0.0239999999999509,0.0364000000000851,0.0510000000000218,0.0639999999999782,0.0786000000000058,0.0942000000003463,0.108999999999651,0.122999999999447,0.137999999999884
39,0.0141999999999988,0.0232000000000335,0.0373999999999796,0.050800000000163,0.0647999999998865,0.0809999999995489,0.0972000000001572,0.108400000000111,0.120599999999977,0.137200000000157
40,0.0115999999999908,0.0266000000000349,0.0356000000000677,0.0538000000001921,0.0661999999997715,0.0783999999999651,0.0951999999998952,0.110399999999936,0.119600000000355,0.136000000000495
41,0.0098000000000035,0.0247999999999956,0.0331999999999425,0.052200000000048,0.0649999999998545,0.0780000000002474,0.0919999999999709,0.105600000000122,0.118799999999901,0.135999999999622
42,0.0112000000000099,0.0244000000000142,0.0365999999998712,0.0483999999999651,0.0632000000000699,0.0793999999995867,0.092999999999447,0.107399999999179,0.124799999999523,0.137400000000052
43,0.0108000000000057,0.0281999999999516,0.0369999999999527,0.0514000000001397,0.0608000000002721,0.079399999999805,0.0929999999999563,0.106999999999825,0.119200000000274,0.136999999999825
44,0.0104,0.0271999999999571,0.0359999999998763,0.049600000000064,0.0635999999999331,0.0781999999997788,0.0923999999999796,0.107400000000052,0.120999999999913,0.136599999999744
45,0.00839999999999628,0.0239999999999145,0.035000000000091,0.0509999999999854,0.0658000000000175,0.0803999999997905,0.0936000000002241,0.102200000000303,0.122999999999738,0.13260000000053
46,0.0108000000000103,0.0234000000000287,0.0360000000000218,0.0499999999998909,0.0645999999998821,0.0771999999999389,0.0922000000003754,0.10660000000018,0.123200000000361,0.136000000000058
47,0.0114000000000004,0.0239999999999691,0.0378000000000429,0.0515999999999258,0.0644000000001324,0.0772000000000844,0.0926000000000931,0.105799999999581,0.120999999999913,0.136800000000367
48,0.012,0.0257999999999902,0.0348000000001957,0.0484000000000015,0.0596000000002095,0.0772000000000116,0.0941999999996915,0.104600000000646,0.118600000000151,0.133000000000466
49,0.0117999999999944,0.0257999999999265,0.0358000000000175,0.0498000000001048,0.0637999999999374,0.0761999999999534,0.0919999999999709,0.102800000000134,0.119999999999709,0.134000000000233
50,0.010000000000009,0.0257999999999993,0.0354000000000087,0.0509999999998763,0.0607999999997264,0.0778000000002066,0.0932000000001426,0.10960000000021,0.121599999999889,0.13699999999968
